"FIT ID","No.","Post Code","Technology","Installation","kW","Commission","Export","Tariff","Country","GO Region","Local Authority","Related ID","Generator Name"
" FIT00382618"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-05-08"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00341426-E ","  "
" FIT00382604"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-06-27"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00362081-F ","  "
" FIT00475879"," 1"," S64 "," Photovoltaic "," Domestic"," 0.37 "," 2012-09-27"," Deemed "," PV-N/0-4/04H-4 "," England"," Yorks & Humber "," Doncaster "," MCS-00402677-V ","  "
" FIT00489951"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-06-27"," Deemed "," PV-N/0-4/04H-1 "," England"," East of England "," Epping Forest "," MCS-00362091-R ","  "
" FIT00241971"," 1"," NP12 "," Photovoltaic "," Domestic"," 0.37 "," 2011-08-10"," Deemed "," PV-R/0-4/02 "," Wales"," N/A "," Caerphilly "," MCS-00092026-I ","  "
" FIT00375829"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-05-11"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00344851-O ","  "
" FIT00374975"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-06-27"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00361694-X ","  "
" FIT00374987"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-06-27"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00361705-Y ","  "
" FIT00382620"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-04-24"," Deemed "," PV-R/0-4/03M-3 "," England"," East of England "," Epping Forest "," MCS-00336269-V ","  "
" FIT00336577"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-02-02"," Deemed "," PV-R/0-4/03 H "," England"," East of England "," Epping Forest "," MCS-00262240-S ","  "
" FIT00315862"," 1"," KT5 "," Photovoltaic "," Domestic"," 0.38 "," 2012-07-30"," Deemed "," PV-R/0-4/03 H "," England"," London "," Kingston upon Thames "," MCS-00388627-S ","  "
" FIT00552154"," 1"," ME14 "," Photovoltaic "," Domestic"," 0.38 "," 2014-06-03"," Deemed "," PV-R/0-4/05H-2 "," England"," South East "," Maidstone "," MCS-00633224-E ","  "
" FIT00344709"," 1"," DN4 "," Photovoltaic "," Domestic"," 0.38 "," 2012-06-29"," Deemed "," PV-N/0-4/03H-2 "," England"," Yorks & Humber "," Doncaster "," MCS-00391905-R ","  "
" FIT00387269"," 1"," DN4 "," Photovoltaic "," Domestic"," 0.38 "," 2012-09-24"," Deemed "," PV-N/0-4/03H-4 "," England"," Yorks & Humber "," Doncaster "," MCS-00400847-F ","  "
" FIT00342415"," 1"," WD3 "," Photovoltaic "," Domestic"," 0.38 "," 2011-11-29"," Deemed "," PV-R/0-4/03H-2 "," England"," East of England "," Three Rivers "," MCS-00346476-H ","  "
" FIT00380659"," 1"," BB7 "," Photovoltaic "," Domestic"," 0.38 "," 2011-09-12"," Deemed "," PV-N/0-4/03H-4 "," England"," North West "," Ribble Valley "," MCS-00119847-G ","  "
